date,alpha_naive,alpha_norm,e_div
2021-06-16,,0.000000,
2021-06-17,,0.000000,
2021-06-18,,0.000000,
2021-06-19,,0.000000,
2021-06-20,,0.000000,
2021-06-21,,0.000000,
2021-06-22,,0.000000,
2021-06-23,,0.000000,
2021-06-24,,0.000000,
2021-06-25,,0.000000,
2021-06-26,,0.000000,
2021-06-27,,0.000000,
2021-06-28,,0.000000,
2021-06-29,,0.000000,
2021-06-30,,0.000000,
2021-07-01,,0.000000,
2021-07-02,,0.000000,
2021-07-03,,0.000000,
2021-07-04,,0.000000,
2021-07-05,,0.000000,
2021-07-06,,0.000000,
2021-07-07,,0.000000,
2021-07-08,,0.000000,
2021-07-09,,0.000000,
2021-07-10,,0.000000,
2021-07-11,,0.000000,
2021-07-12,,0.000000,
2021-07-13,,0.000000,
2021-07-14,,0.000000,
2021-07-15,0.000000,0.713614,0.050718
2021-07-16,0.000000,0.362691,0.264121
2021-07-17,0.000000,0.613309,1.493124
2021-07-18,0.000000,0.371803,-0.149992
2021-07-19,0.000000,0.602412,0.085356
2021-07-20,0.000000,0.753329,0.371513
2021-07-21,0.000000,1.181809,-0.912338
2021-07-22,0.090909,1.135416,-1.242279
2021-07-23,0.000000,0.948159,-1.364088
2021-07-24,0.000000,1.003963,-1.490059
2021-07-25,0.000000,0.719435,-1.189949
2021-07-26,0.000000,0.796852,-1.279693
2021-07-27,0.000000,0.832226,-0.288435
2021-07-28,0.000000,0.589697,0.510240
2021-07-29,0.000000,0.472614,0.027599
2021-07-30,0.000000,0.392913,-0.259791
2021-07-31,0.000000,0.460689,-0.262864
2021-08-01,0.000000,0.466821,-0.744346
2021-08-02,0.000000,0.632636,-1.214632
2021-08-03,0.000000,0.550258,-0.795800
2021-08-04,0.000000,0.687052,-0.688660
2021-08-05,0.000000,0.848077,-0.189487
2021-08-06,0.000000,1.194029,0.150230
2021-08-07,0.000000,1.026910,0.282574
2021-08-08,0.000000,1.053710,-0.135698
2021-08-09,0.000000,1.091290,0.128246
2021-08-10,0.090909,1.178660,0.084360
2021-08-11,0.000000,0.751142,0.165603
2021-08-12,0.000000,1.024925,0.177983
2021-08-13,0.083333,0.893765,0.023750
2021-08-14,0.000000,0.778290,0.055554
2021-08-15,0.000000,0.716987,0.984505
2021-08-16,0.000000,0.655270,0.391086
2021-08-17,0.000000,0.725773,0.214314
2021-08-18,0.000000,0.511562,0.387556
2021-08-19,0.000000,0.890197,1.123779
2021-08-20,0.000000,0.714061,-1.248671
2021-08-21,0.000000,0.824861,-0.124262
2021-08-22,0.000000,0.749775,-0.103443
2021-08-23,0.000000,0.505708,-0.592658
2021-08-24,0.000000,0.412272,-0.283831
2021-08-25,0.000000,0.334408,0.113678
2021-08-26,0.000000,0.604042,0.451976
2021-08-27,0.000000,0.737085,1.064994
2021-08-28,0.083333,1.077130,1.340171
2021-08-29,0.083333,1.124460,0.854705
2021-08-30,0.000000,0.872116,0.672124
2021-08-31,0.000000,0.993617,0.650158
2021-09-01,0.000000,1.031246,-1.080451
2021-09-02,0.083333,1.237001,-0.114078
2021-09-03,0.083333,1.337371,1.206684
2021-09-04,0.083333,1.215121,1.644444
2021-09-05,0.083333,1.537877,2.874199
2021-09-06,0.166667,1.536848,2.961750
2021-09-07,0.083333,1.152981,2.316976
2021-09-08,0.000000,0.790765,0.686457
2021-09-09,0.000000,0.731620,1.012175
2021-09-10,0.166667,1.485122,3.170283
2021-09-11,0.000000,1.137084,2.365087
2021-09-12,0.000000,0.928406,2.055013
2021-09-13,0.000000,0.808698,1.615024
2021-09-14,0.000000,0.842610,0.366937
2021-09-15,0.000000,0.935551,1.938521
2021-09-16,0.000000,0.836004,0.996438
2021-09-17,0.000000,0.962174,1.322261
2021-09-18,0.000000,0.684198,0.868052
2021-09-19,0.000000,0.683897,-0.710367
2021-09-20,0.416667,1.667879,2.866611
2021-09-21,0.416667,2.222628,2.894581
2021-09-22,0.250000,1.613697,1.739595
2021-09-23,0.166667,1.406525,-0.772271
2021-09-24,0.000000,1.157099,0.182471
2021-09-25,0.000000,0.973166,-0.485194
2021-09-26,0.083333,1.216344,-0.251940
2021-09-27,0.000000,1.017584,-0.052904
2021-09-28,0.000000,1.144034,-0.264939
2021-09-29,0.000000,1.026383,1.588329
2021-09-30,0.083333,1.214955,2.217576
2021-10-01,0.000000,1.210362,1.838301
2021-10-02,0.000000,0.979837,1.138702
2021-10-03,0.000000,0.586281,1.036767
2021-10-04,0.000000,0.707948,-0.098434
2021-10-05,0.000000,0.742653,1.600392
2021-10-06,0.083333,1.352459,2.576374
2021-10-07,0.000000,0.915460,-0.096629
2021-10-08,0.000000,0.728044,-0.209140
2021-10-09,0.000000,0.682049,-0.648987
2021-10-10,0.000000,0.617370,0.146917
2021-10-11,0.000000,0.755396,-0.036964
2021-10-12,0.000000,0.677274,-0.275388
2021-10-13,0.000000,0.872496,0.642486
2021-10-14,0.000000,0.881127,0.396056
2021-10-15,0.000000,0.897794,0.603550
2021-10-16,0.083333,1.328121,0.808406
2021-10-17,0.083333,1.248949,-0.645262
2021-10-18,0.000000,0.927360,0.189930
2021-10-19,0.000000,0.879210,-1.156124
2021-10-20,0.166667,1.497451,-2.701544
2021-10-21,0.083333,1.083902,-2.373082
2021-10-22,0.166667,1.352036,-2.319925
2021-10-23,0.333333,1.642537,-1.866226
2021-10-24,0.250000,1.522143,-2.144573
2021-10-25,0.166667,1.571009,-3.216816
2021-10-26,0.000000,1.024929,-1.281705
2021-10-27,0.000000,0.772837,-1.224097
2021-10-28,0.000000,0.900038,-1.794637
2021-10-29,0.000000,0.843151,-0.920174
2021-10-30,0.000000,1.045101,-2.296814
2021-10-31,0.000000,1.026662,-1.915151
2021-11-01,0.000000,1.068172,-2.083298
2021-11-02,0.000000,1.051644,-2.199955
2021-11-03,0.083333,1.137644,-2.429289
2021-11-04,0.083333,1.343024,-1.881065
2021-11-05,0.166667,1.210119,-1.483357
2021-11-06,0.000000,1.107703,-1.356293
2021-11-07,0.000000,0.970457,-1.302463
2021-11-08,0.000000,1.017059,-0.951576
2021-11-09,0.000000,0.993375,-1.512948
2021-11-10,0.000000,1.113456,-2.131405
2021-11-11,0.000000,0.889274,-2.138625
2021-11-12,0.000000,0.797292,-1.655525
2021-11-13,0.000000,0.543157,0.281653
2021-11-14,0.000000,0.698694,-0.887597
2021-11-15,0.000000,0.814817,0.062518
2021-11-16,0.000000,0.778464,-1.832762
2021-11-17,0.000000,0.874691,-1.458064
2021-11-18,0.000000,1.005203,-1.794696
2021-11-19,0.000000,0.743313,-0.889717
2021-11-20,0.000000,1.139750,-1.071147
2021-11-21,0.083333,1.130992,-2.066059
2021-11-22,0.166667,1.207163,-1.806026
2021-11-23,0.250000,1.642032,-3.922267
2021-11-24,0.166667,1.378089,-3.181007
2021-11-25,0.000000,0.779184,-1.797829
2021-11-26,0.000000,1.167468,-0.156097
2021-11-27,0.000000,1.028313,-0.136802
2021-11-28,0.000000,0.873033,-0.512476
2021-11-29,0.083333,1.359668,-1.886630
2021-11-30,0.000000,1.068176,-1.571346
2021-12-01,0.000000,0.732008,-0.764912
2021-12-02,0.000000,0.851705,-1.152333
2021-12-03,0.000000,0.878808,-1.550961
2021-12-04,0.000000,0.919698,-1.453612
2021-12-05,0.000000,0.869657,-0.869112
2021-12-06,0.083333,1.300499,-1.443471
2021-12-07,0.083333,1.029709,-0.809042
2021-12-08,0.000000,0.762129,-0.455292
2021-12-09,0.250000,1.435443,0.893737
2021-12-10,0.000000,1.029996,1.085958
2021-12-11,0.000000,0.931975,0.054032
2021-12-12,0.000000,0.763469,-0.095551
2021-12-13,0.000000,0.596996,-0.597276
2021-12-14,0.000000,0.549008,-0.638724
2021-12-15,0.000000,0.693863,-1.438204
2021-12-16,0.000000,0.752926,0.487944
2021-12-17,0.083333,1.295973,1.640779
2021-12-18,0.250000,1.447248,1.460311
2021-12-19,0.500000,1.932737,4.146079
2021-12-20,0.083333,1.259231,1.412941
2021-12-21,0.250000,1.466893,1.195682
2021-12-22,0.083333,1.288567,0.888147
2021-12-23,0.000000,1.080063,0.099165
2021-12-24,0.000000,1.112955,-0.312783
2021-12-25,0.000000,1.172072,-0.112722
2021-12-26,0.000000,0.751112,0.688361
2021-12-27,0.000000,0.809603,0.855632
2021-12-28,0.000000,0.782314,0.492437
2021-12-29,0.000000,0.851632,0.655476
2021-12-30,0.083333,1.534296,3.159732
2021-12-31,0.250000,1.499779,1.747889
2022-01-01,0.333333,1.645381,3.282099
2022-01-02,0.250000,1.699903,3.131655
2022-01-03,0.416667,2.436700,5.579297
2022-01-04,0.166667,1.252887,3.038485
2022-01-05,0.333333,1.888649,3.796054
2022-01-06,0.000000,0.978847,2.106475
2022-01-07,0.000000,1.175966,2.480776
2022-01-08,0.000000,1.303389,2.683092
2022-01-09,0.166667,1.626217,3.639768
2022-01-10,0.333333,1.792122,3.872653
2022-01-11,0.333333,1.778371,4.123095
2022-01-12,0.000000,0.723710,0.834781
2022-01-13,0.166667,1.637661,3.695770
2022-01-14,0.083333,1.453758,3.219409
2022-01-15,0.166667,1.501031,2.883012
2022-01-16,0.083333,1.179649,2.559283
2022-01-17,0.083333,1.239020,2.705761
2022-01-18,0.166667,1.635237,3.701466
2022-01-19,0.000000,1.090518,1.957494
2022-01-20,0.000000,0.910022,0.667155
2022-01-21,0.000000,0.705750,0.293076
2022-01-22,0.000000,0.484446,0.152351
2022-01-23,0.000000,0.679925,-0.224763
2022-01-24,0.000000,0.394591,-0.015828
2022-01-25,0.000000,0.516717,-0.313405
2022-01-26,0.000000,0.747047,-1.322626
2022-01-27,0.000000,0.679608,-1.058724
2022-01-28,0.083333,1.262598,-0.054889
2022-01-29,0.083333,1.167808,-1.671024
2022-01-30,0.083333,0.975943,-1.233390
2022-01-31,0.000000,0.685296,-0.919833
2022-02-01,0.000000,0.772961,-1.239754
2022-02-02,0.000000,1.077003,-1.483020
2022-02-03,0.083333,1.099621,-0.457536
2022-02-04,0.250000,1.537156,2.175013
2022-02-05,0.250000,1.466325,1.895353
2022-02-06,0.333333,1.433340,1.452948
2022-02-07,0.083333,1.239372,0.730291
2022-02-08,0.083333,0.918613,1.100310
2022-02-09,0.166667,1.215909,1.705955
2022-02-10,0.166667,1.315123,1.944592
2022-02-11,0.166667,1.060741,0.962111
2022-02-12,0.000000,0.909205,0.704843
2022-02-13,0.000000,0.746165,0.429093
2022-02-14,0.000000,0.968297,1.183194
2022-02-15,0.000000,1.052830,1.045600
2022-02-16,0.000000,0.693439,0.305472
2022-02-17,0.000000,0.725933,-0.366860
2022-02-18,0.000000,0.679785,-1.289163
2022-02-19,0.000000,0.684954,-1.081380
2022-02-20,0.000000,0.528275,-0.363595
2022-02-21,0.000000,0.540938,-0.644270
2022-02-22,0.000000,0.588395,-0.705592
2022-02-23,0.000000,1.014195,-2.039874
2022-02-24,0.000000,0.811581,-1.473882
2022-02-25,0.000000,0.620748,-0.173387
2022-02-26,0.166667,1.461497,2.685077
2022-02-27,0.000000,0.638316,-0.652203
2022-02-28,0.000000,0.560780,0.071978
2022-03-01,0.083333,0.893758,1.715787
2022-03-02,0.083333,0.961922,1.906892
2022-03-03,0.000000,0.886433,1.694584
2022-03-04,0.000000,1.014307,0.559460
2022-03-05,0.250000,1.508104,2.607518
2022-03-06,0.083333,0.968227,1.543660
2022-03-07,0.000000,0.739756,0.371610
2022-03-08,0.000000,0.656921,0.204676
2022-03-09,0.166667,1.769858,-0.458003
2022-03-10,0.083333,1.529132,-0.761121
2022-03-11,0.166667,1.621534,1.284052
2022-03-12,0.166667,1.515409,-0.558605
2022-03-13,0.333333,1.728107,0.400549
2022-03-14,0.166667,1.964711,-1.626170
