date,n_symbols,L1_H1,n_unb,n_edges,balance_rate
2021-06-29,0,,,0,
2021-06-30,32,0.218632,12.0,164,0.9098
2021-07-01,47,0.701367,19.0,322,0.9312
2021-07-02,47,0.815845,16.0,392,0.9538
2021-07-05,47,0.804034,17.0,406,0.9528
2021-07-06,47,1.098285,23.0,331,0.9193
2021-07-07,47,1.241038,24.0,316,0.9111
2021-07-08,47,0.871302,21.0,328,0.9255
2021-07-09,47,0.926904,25.0,332,0.9126
2021-07-12,47,0.69153,27.0,343,0.9091
2021-07-13,47,0.837099,31.0,328,0.8901
2021-07-14,47,0.755841,32.0,337,0.89
2021-07-15,47,0.850496,28.0,342,0.9054
2021-07-16,47,0.798555,21.0,342,0.9291
2021-07-19,47,0.634312,29.0,336,0.9
2021-07-20,47,0.594643,28.0,342,0.9054
2021-07-21,47,0.761553,31.0,347,0.8974
2021-07-22,47,0.786011,45.0,377,0.864
2021-07-23,47,0.669732,39.0,389,0.8863
2021-07-26,47,0.422758,6.0,437,0.9847
2021-07-27,47,0.390673,13.0,531,0.9732
2021-07-28,47,0.376376,16.0,537,0.9674
2021-07-29,47,0.448412,8.0,515,0.9829
2021-07-30,47,0.412378,18.0,506,0.9609
2021-08-02,47,0.355357,16.0,536,0.9673
2021-08-03,47,0.285106,23.0,547,0.9541
2021-08-04,47,0.180773,10.0,524,0.9791
2021-08-05,47,0.260658,20.0,520,0.9578
2021-08-06,47,0.242398,24.0,494,0.9464
2021-08-09,47,0.340467,36.0,513,0.9229
2021-08-10,47,0.282162,39.0,527,0.9189
2021-08-11,47,0.404506,41.0,510,0.9116
2021-08-12,47,0.441311,17.0,519,0.9641
2021-08-13,47,0.558703,17.0,497,0.9623
2021-08-16,47,0.689873,20.0,491,0.9551
2021-08-17,47,0.550887,17.0,493,0.962
2021-08-18,48,0.65961,19.0,522,0.96
2021-08-19,48,0.673784,20.0,530,0.9586
2021-08-20,48,0.665271,52.0,518,0.8896
2021-08-23,48,0.664252,38.0,513,0.9185
2021-08-24,48,0.572778,38.0,511,0.9181
2021-08-25,48,0.652223,33.0,512,0.929
2021-08-26,48,0.650248,56.0,514,0.8801
2021-08-27,48,0.760423,42.0,523,0.9118
2021-08-30,48,0.689966,42.0,502,0.9077
2021-08-31,48,0.873606,37.0,516,0.9211
2021-09-01,48,0.708047,38.0,554,0.925
2021-09-02,48,0.705095,36.0,542,0.9273
2021-09-03,48,0.76139,36.0,536,0.9264
2021-09-06,48,0.796774,29.0,475,0.9322
2021-09-07,48,0.875069,43.0,410,0.8815
2021-09-08,48,1.11006,33.0,420,0.9115
2021-09-09,48,1.046187,25.0,394,0.928
2021-09-10,48,0.659989,13.0,381,0.9611
2021-09-13,48,0.824898,36.0,379,0.8916
2021-09-14,48,0.77606,20.0,402,0.9437
2021-09-15,48,0.751062,17.0,417,0.9541
2021-09-16,48,0.615043,18.0,433,0.9534
2021-09-17,48,0.523335,23.0,440,0.9415
2021-09-20,48,0.506679,5.0,443,0.9874
2021-09-21,48,0.461733,5.0,435,0.9871
2021-09-22,48,0.595919,8.0,447,0.98
2021-09-23,49,0.580712,5.0,465,0.988
2021-09-24,49,0.443147,13.0,467,0.969
2021-09-27,49,0.632644,18.0,460,0.9563
2021-09-28,49,0.804965,40.0,431,0.8956
2021-09-29,49,0.779655,19.0,435,0.9509
2021-09-30,49,0.777888,32.0,411,0.9118
2021-10-01,49,0.760568,27.0,387,0.9204
2021-10-04,49,0.674452,29.0,408,0.9194
2021-10-05,49,0.730552,31.0,427,0.9182
2021-10-06,49,0.860269,34.0,440,0.9133
2021-10-07,49,0.92627,52.0,399,0.8519
2021-10-08,49,0.61252,31.0,421,0.9169
2021-10-11,49,0.604041,29.0,423,0.9227
2021-10-12,49,0.474723,30.0,433,0.9221
2021-10-13,49,0.802903,36.0,418,0.9027
2021-10-14,49,0.629445,40.0,405,0.888
2021-10-15,49,0.686381,35.0,410,0.9033
2021-10-18,49,0.393863,46.0,393,0.8667
2021-10-19,49,0.452992,39.0,398,0.8886
2021-10-20,49,0.677021,45.0,394,0.8699
2021-10-21,49,0.500715,53.0,389,0.8446
2021-10-22,49,0.902699,41.0,365,0.8707
2021-10-25,49,0.985875,33.0,379,0.9003
2021-10-26,49,1.088525,28.0,330,0.9007
2021-10-27,49,1.066373,30.0,325,0.8917
2021-10-28,49,1.088809,54.0,309,0.7931
2021-10-29,49,1.403792,52.0,313,0.8038
2021-11-01,49,1.244303,57.0,297,0.7711
2021-11-02,49,1.058336,38.0,303,0.851
2021-11-03,49,0.992961,49.0,323,0.8218
2021-11-04,49,0.892666,31.0,329,0.8897
