date,n_symbols,L1_H1,n_unb,n_edges,balance_rate
2021-06-19,0,,,0,
2021-06-20,29,1.117813,13.0,81,0.7547
2021-06-21,29,1.047156,12.0,78,0.76
2021-06-22,29,1.078575,17.0,86,0.7069
2021-06-23,38,1.40256,30.0,153,0.7414
2021-06-24,38,1.491921,17.0,148,0.8468
2021-06-25,38,1.6158,32.0,147,0.7091
2021-06-26,38,1.744263,34.0,150,0.6991
2021-06-27,38,1.540322,34.0,162,0.728
2021-06-28,38,1.597122,33.0,154,0.7179
2021-06-29,38,1.447129,28.0,150,0.7522
2021-06-30,38,1.689922,34.0,154,0.7094
2021-07-01,38,2.030199,30.0,156,0.7479
2021-07-02,38,2.139621,34.0,166,0.7364
2021-07-03,38,1.956309,41.0,169,0.6894
2021-07-04,38,1.866828,41.0,179,0.7113
2021-07-05,38,1.732617,30.0,154,0.7436
2021-07-06,38,1.994355,32.0,150,0.7168
2021-07-07,38,1.959132,28.0,136,0.72
2021-07-08,38,1.555914,32.0,154,0.7265
2021-07-09,38,1.781872,28.0,144,0.7383
2021-07-10,38,1.782636,25.0,150,0.7788
2021-07-11,38,1.882851,29.0,159,0.7623
2021-07-12,38,1.740038,26.0,153,0.7759
2021-07-13,38,1.906495,19.0,136,0.8081
2021-07-14,38,2.144472,31.0,128,0.6593
2021-07-15,38,1.969408,25.0,132,0.7368
2021-07-16,38,1.685437,31.0,141,0.7019
2021-07-17,38,1.757235,37.0,143,0.6509
2021-07-18,38,1.51045,27.0,142,0.7429
2021-07-19,38,1.490422,35.0,170,0.7368
2021-07-20,38,1.630639,30.0,171,0.7761
2021-07-21,38,1.331019,24.0,186,0.8389
2021-07-22,38,1.162666,19.0,187,0.8733
2021-07-23,38,1.130107,30.0,184,0.7959
2021-07-24,38,1.07159,29.0,203,0.8253
2021-07-25,38,1.325893,27.0,204,0.8383
2021-07-26,38,1.782782,25.0,178,0.8227
2021-07-27,38,1.600161,27.0,180,0.8112
2021-07-28,38,1.340732,30.0,191,0.8052
2021-07-29,38,1.209818,26.0,200,0.8405
2021-07-30,38,0.969144,42.0,203,0.747
2021-07-31,38,1.083232,34.0,213,0.8068
2021-08-01,38,1.165321,43.0,220,0.765
2021-08-02,38,1.329242,42.0,213,0.7614
2021-08-03,38,1.176611,31.0,195,0.8038
2021-08-04,38,1.11291,32.0,200,0.8037
2021-08-05,38,1.414498,34.0,199,0.7901
2021-08-06,38,1.529868,32.0,184,0.7823
2021-08-07,38,1.638101,27.0,173,0.8015
2021-08-08,38,1.642043,25.0,188,0.8344
2021-08-09,38,1.556197,21.0,186,0.8591
2021-08-10,38,1.472104,21.0,190,0.8627
2021-08-11,38,1.476112,32.0,200,0.8037
2021-08-12,38,1.273909,25.0,194,0.8408
2021-08-13,38,1.037244,23.0,197,0.8562
2021-08-14,38,0.959196,26.0,200,0.8405
2021-08-15,38,0.872524,24.0,202,0.8545
2021-08-16,38,0.851858,18.0,203,0.8916
2021-08-17,38,0.875422,30.0,194,0.8089
2021-08-18,38,1.396177,33.0,176,0.7626
2021-08-19,38,1.641146,28.0,175,0.7971
2021-08-20,38,1.498224,37.0,167,0.7154
2021-08-21,38,1.480687,42.0,164,0.6693
2021-08-22,38,1.629364,38.0,175,0.7246
2021-08-23,38,1.438837,27.0,170,0.797
2021-08-24,38,1.200702,33.0,160,0.7317
2021-08-25,38,1.065589,23.0,171,0.8284
2021-08-26,38,1.339452,29.0,174,0.7883
2021-08-27,38,1.054741,25.0,180,0.8252
2021-08-28,38,1.346787,34.0,185,0.7703
2021-08-29,38,1.358118,34.0,173,0.75
2021-08-30,38,1.175391,35.0,179,0.7535
2021-08-31,38,1.178479,28.0,173,0.7941
2021-09-01,38,1.181797,46.0,178,0.6738
2021-09-02,38,0.988606,34.0,172,0.7481
2021-09-03,38,0.94641,24.0,177,0.8286
2021-09-04,38,0.764755,20.0,178,0.8582
2021-09-05,38,0.953812,15.0,174,0.8905
2021-09-06,38,0.995708,13.0,167,0.9
2021-09-07,38,0.959715,11.0,162,0.912
2021-09-08,38,1.0941,22.0,164,0.8268
2021-09-09,38,1.00088,24.0,167,0.8154
2021-09-10,38,1.071999,27.0,167,0.7923
2021-09-11,38,1.057366,43.0,176,0.6906
2021-09-12,38,1.047314,35.0,182,0.7586
2021-09-13,38,0.985147,49.0,176,0.6475
2021-09-14,38,1.041786,25.0,172,0.8148
2021-09-15,38,1.342319,23.0,164,0.8189
2021-09-16,38,1.251251,27.0,180,0.8112
2021-09-17,38,0.805891,24.0,183,0.8356
2021-09-18,38,1.245964,36.0,186,0.7584
2021-09-19,38,1.43299,31.0,198,0.8075
2021-09-20,38,1.392972,38.0,198,0.764
2021-09-21,38,1.272165,31.0,196,0.805
2021-09-22,38,1.028629,22.0,202,0.8667
2021-09-23,38,1.252162,17.0,196,0.8931
2021-09-24,38,1.174955,22.0,189,0.8553
2021-09-25,38,1.265919,26.0,196,0.8365
2021-09-26,38,1.179216,34.0,199,0.7901
2021-09-27,38,1.36015,21.0,181,0.8542
2021-09-28,38,1.383627,22.0,190,0.8562
2021-09-29,38,1.312617,27.0,190,0.8235
2021-09-30,38,0.956058,33.0,202,0.8
2021-10-01,38,1.03916,14.0,189,0.9079
2021-10-02,38,0.96228,23.0,198,0.8571
2021-10-03,38,1.304581,13.0,205,0.9226
2021-10-04,38,1.24652,16.0,190,0.8954
2021-10-05,38,1.350437,17.0,191,0.8896
2021-10-06,38,1.360086,17.0,188,0.8874
2021-10-07,38,1.335835,20.0,188,0.8675
2021-10-08,38,1.219958,17.0,184,0.8844
2021-10-09,38,1.190941,20.0,186,0.8658
2021-10-10,38,1.267661,21.0,191,0.8636
2021-10-11,38,1.501278,30.0,189,0.8026
2021-10-12,38,1.362097,27.0,187,0.82
2021-10-13,38,1.256506,24.0,191,0.8442
2021-10-14,38,1.178617,28.0,195,0.8228
2021-10-15,38,1.021312,24.0,202,0.8545
2021-10-16,38,1.08162,27.0,212,0.8457
2021-10-17,38,0.834221,26.0,213,0.8523
2021-10-18,38,0.929264,25.0,203,0.8494
2021-10-19,38,1.005985,16.0,188,0.894
2021-10-20,38,1.505768,17.0,150,0.8496
2021-10-21,38,1.052125,24.0,161,0.8065
2021-10-22,38,1.381095,25.0,171,0.8134
2021-10-23,38,1.473693,29.0,170,0.782
2021-10-24,38,1.360251,28.0,174,0.7956
2021-10-25,38,1.472844,13.0,162,0.896
2021-10-26,38,1.629675,23.0,157,0.8083
2021-10-27,38,1.279548,24.0,171,0.8209
2021-10-28,38,1.584067,27.0,152,0.7652
2021-10-29,38,1.510671,29.0,152,0.7478
2021-10-30,38,1.821542,37.0,160,0.6992
2021-10-31,38,1.799652,34.0,169,0.7424
2021-11-01,38,1.910067,28.0,170,0.7895
2021-11-02,38,1.66716,34.0,169,0.7424
2021-11-03,38,1.713105,26.0,165,0.7969
2021-11-04,38,1.412263,25.0,153,0.7845
2021-11-05,38,1.455587,29.0,163,0.7698
2021-11-06,38,1.624717,45.0,171,0.6642
2021-11-07,38,1.539831,44.0,174,0.6788
2021-11-08,38,1.81035,37.0,160,0.6992
2021-11-09,38,1.431651,23.0,157,0.8083
2021-11-10,38,1.660806,26.0,157,0.7833
2021-11-11,38,1.575674,26.0,151,0.7719
2021-11-12,38,1.592486,29.0,153,0.75
2021-11-13,38,1.683024,34.0,157,0.7167
2021-11-14,38,1.826219,35.0,151,0.693
2021-11-15,38,1.816871,33.0,147,0.7
2021-11-16,38,1.737192,31.0,143,0.7075
2021-11-17,38,2.183703,33.0,144,0.6916
2021-11-18,38,2.127014,32.0,151,0.7193
2021-11-19,38,1.930717,29.0,157,0.7583
2021-11-20,38,2.249482,33.0,146,0.6972
2021-11-21,38,2.406292,30.0,152,0.7391
2021-11-22,38,2.379191,34.0,149,0.6964
2021-11-23,38,2.532612,35.0,152,0.6957
2021-11-24,38,2.133348,34.0,148,0.6937
2021-11-25,38,2.228727,37.0,152,0.6783
2021-11-26,38,1.264542,26.0,177,0.8143
