date,n_symbols,L1_H1,n_unb,n_edges,balance_rate
2016-06-16,0,,,0,
2016-06-17,1,,,0,
2016-06-18,38,1.125829,25.0,280,0.8971
2016-06-19,38,1.210242,30.0,289,0.881
2016-06-20,38,1.038066,14.0,314,0.9495
2016-06-21,38,0.981505,13.0,315,0.9532
2016-06-22,38,1.129962,17.0,304,0.9363
2016-06-23,38,0.837289,14.0,360,0.9567
2016-06-24,38,0.654403,32.0,413,0.9149
2016-06-25,38,0.667439,19.0,410,0.9491
2016-06-26,38,0.71767,15.0,414,0.9602
2016-06-27,38,0.563026,14.0,448,0.9659
2016-06-28,38,0.491808,78.0,427,0.8
2016-06-29,38,0.348176,20.0,424,0.9483
2016-06-30,38,0.323763,22.0,423,0.943
2016-07-01,38,0.401313,107.0,426,0.7249
2016-07-02,38,0.441194,109.0,431,0.7234
2016-07-03,38,0.412542,109.0,433,0.7247
2016-07-04,38,0.462086,109.0,431,0.7234
2016-07-05,38,0.338802,17.0,424,0.9561
2016-07-06,38,0.387572,12.0,407,0.9676
2016-07-07,38,0.311807,22.0,407,0.9405
2016-07-08,38,0.409424,23.0,404,0.9373
2016-07-09,38,0.388834,33.0,418,0.9134
2016-07-10,38,0.421384,37.0,410,0.9008
2016-07-11,38,0.293209,38.0,403,0.8962
2016-07-12,38,0.244337,24.0,402,0.9342
2016-07-13,38,0.223149,18.0,380,0.9475
2016-07-14,38,0.284183,18.0,382,0.9478
2016-07-15,38,0.342202,17.0,381,0.9506
2016-07-16,38,0.29787,29.0,382,0.9159
2016-07-17,38,0.290891,31.0,388,0.9117
2016-07-18,38,0.360825,28.0,372,0.9164
2016-07-19,38,0.379931,29.0,371,0.9132
2016-07-20,38,0.271655,26.0,359,0.9193
2016-07-21,38,0.407479,29.0,360,0.9102
2016-07-22,38,0.410336,30.0,367,0.9091
2016-07-23,38,0.44946,30.0,365,0.9085
2016-07-24,38,0.563079,45.0,343,0.8534
2016-07-25,38,0.545611,44.0,340,0.8553
2016-07-26,38,0.530624,45.0,343,0.8534
2016-07-27,38,0.526453,33.0,270,0.8584
2016-07-28,38,0.649257,24.0,245,0.8846
2016-07-29,38,0.747361,22.0,227,0.8842
2016-07-30,38,0.467274,39.0,236,0.804
2016-07-31,38,0.594187,44.0,243,0.7864
2016-08-01,38,0.760753,19.0,229,0.901
2016-08-02,38,0.786521,34.0,229,0.8229
2016-08-03,38,0.885,51.0,219,0.7198
2016-08-04,38,0.85542,30.0,202,0.8182
2016-08-05,38,1.282401,39.0,218,0.7845
2016-08-06,38,1.044843,28.0,238,0.8607
2016-08-07,38,1.079859,35.0,244,0.8309
2016-08-08,38,1.083528,34.0,240,0.8325
2016-08-09,38,1.096126,35.0,233,0.8214
2016-08-10,38,1.165892,33.0,244,0.8406
2016-08-11,38,1.151416,57.0,264,0.7489
2016-08-12,38,1.392102,64.0,254,0.7051
2016-08-13,38,1.30482,31.0,261,0.8616
2016-08-14,38,0.982341,28.0,278,0.8838
2016-08-15,38,1.006408,31.0,274,0.8692
2016-08-16,38,1.014155,24.0,265,0.8947
2016-08-17,38,0.99534,41.0,259,0.8153
2016-08-18,38,1.10495,27.0,252,0.8744
2016-08-19,38,0.962187,23.0,250,0.892
2016-08-20,38,1.275795,31.0,240,0.8473
2016-08-21,38,1.273864,41.0,248,0.8057
2016-08-22,38,1.32557,36.0,242,0.8244
2016-08-23,38,1.263837,33.0,234,0.8325
2016-08-24,38,1.330546,23.0,231,0.8814
2016-08-25,38,1.444384,29.0,229,0.849
2016-08-26,38,1.183681,25.0,224,0.8663
2016-08-27,38,1.192681,43.0,239,0.7871
2016-08-28,38,1.12225,35.0,261,0.8438
2016-08-29,38,0.870545,48.0,244,0.7681
2016-08-30,38,0.927309,43.0,245,0.7933
2016-08-31,38,1.034487,27.0,264,0.8811
2016-09-01,38,1.048577,37.0,244,0.8213
2016-09-02,38,0.68672,30.0,220,0.837
2016-09-03,38,0.986959,26.0,229,0.8653
2016-09-04,38,1.247218,50.0,243,0.7585
2016-09-05,38,1.265565,46.0,239,0.7734
2016-09-06,38,1.125305,42.0,224,0.7766
2016-09-07,38,1.083538,26.0,247,0.8768
2016-09-08,38,1.366569,45.0,248,0.7877
2016-09-09,38,1.004392,16.0,304,0.9403
2016-09-10,38,1.004246,19.0,288,0.9246
2016-09-11,38,1.255347,18.0,299,0.9316
2016-09-12,38,1.143455,57.0,258,0.7432
2016-09-13,38,1.107009,50.0,237,0.7512
2016-09-14,38,1.31598,43.0,232,0.7806
2016-09-15,38,1.34756,50.0,251,0.7674
2016-09-16,38,1.130982,30.0,259,0.8655
2016-09-17,38,1.121187,48.0,257,0.7828
2016-09-18,38,0.911431,17.0,261,0.9244
2016-09-19,38,1.153584,12.0,234,0.9394
2016-09-20,38,1.097942,31.0,233,0.8426
2016-09-21,38,1.070654,43.0,234,0.7828
2016-09-22,38,0.980925,24.0,272,0.8983
2016-09-23,38,1.001615,15.0,255,0.9315
2016-09-24,38,0.827306,40.0,266,0.8261
2016-09-25,38,0.894361,23.0,270,0.9017
2016-09-26,38,0.940678,29.0,265,0.8734
2016-09-27,38,1.027475,42.0,254,0.8073
2016-09-28,38,1.00047,19.0,257,0.914
2016-09-29,38,1.068984,6.0,258,0.973
2016-09-30,38,1.074869,17.0,241,0.9171
2016-10-01,38,0.976015,17.0,250,0.9206
2016-10-02,38,1.166949,14.0,263,0.9383
2016-10-03,38,1.148644,18.0,256,0.9178
2016-10-04,38,1.118572,17.0,243,0.9175
2016-10-05,38,0.86807,11.0,241,0.9461
2016-10-06,38,0.775264,19.0,229,0.901
2016-10-07,38,1.150354,20.0,223,0.8925
2016-10-08,38,1.232486,13.0,231,0.933
2016-10-09,38,1.7469,20.0,199,0.8765
2016-10-10,38,1.604311,22.0,190,0.8562
2016-10-11,38,1.502346,26.0,192,0.8323
2016-10-12,38,1.744342,15.0,183,0.8973
2016-10-13,38,1.575071,11.0,216,0.9385
2016-10-14,38,1.344681,14.0,221,0.9239
2016-10-15,38,1.408565,14.0,218,0.9231
2016-10-16,38,1.402186,13.0,219,0.929
2016-10-17,38,1.3956,15.0,222,0.9194
2016-10-18,38,1.30466,9.0,224,0.9519
2016-10-19,38,1.422085,16.0,241,0.9216
2016-10-20,38,1.311169,24.0,243,0.8835
2016-10-21,38,1.329219,32.0,237,0.84
2016-10-22,38,1.217963,35.0,209,0.7965
2016-10-23,38,1.444029,41.0,232,0.7897
2016-10-24,38,1.4535,46.0,226,0.7566
2016-10-25,38,1.309623,34.0,222,0.8162
2016-10-26,38,1.478766,40.0,227,0.7895
2016-10-27,38,1.410569,30.0,214,0.8305
2016-10-28,38,1.518333,20.0,219,0.8901
2016-10-29,38,1.495811,37.0,223,0.8011
2016-10-30,38,1.644656,51.0,225,0.7287
2016-10-31,38,1.907118,29.0,215,0.8371
2016-11-01,38,1.65911,32.0,217,0.8222
2016-11-02,38,1.177161,16.0,207,0.9059
2016-11-03,38,1.324485,15.0,193,0.9038
2016-11-04,38,1.245418,15.0,196,0.9057
2016-11-05,38,1.032875,33.0,211,0.8103
2016-11-06,38,1.215959,16.0,215,0.9101
2016-11-07,38,1.261115,15.0,245,0.9279
2016-11-08,38,1.254439,11.0,233,0.9439
2016-11-09,38,1.267276,15.0,242,0.9268
2016-11-10,38,1.722117,33.0,240,0.8374
2016-11-11,38,1.384098,26.0,246,0.8756
2016-11-12,38,1.329821,39.0,258,0.8235
2016-11-13,38,1.451464,16.0,267,0.9304
2016-11-14,38,1.235212,29.0,256,0.8676
2016-11-15,38,1.045429,28.0,266,0.8777
2016-11-16,38,0.928427,66.0,260,0.7054
2016-11-17,38,0.83707,66.0,263,0.7093
2016-11-18,38,0.881815,66.0,265,0.7105
2016-11-19,38,0.886314,26.0,272,0.8894
2016-11-20,38,0.940808,34.0,277,0.8583
2016-11-21,38,0.909613,63.0,273,0.7342
2016-11-22,38,1.163783,82.0,255,0.6256
2016-11-23,38,1.192373,75.0,267,0.6739
2016-11-24,38,1.130368,68.0,262,0.6978
2016-11-25,38,1.197949,78.0,253,0.6389
2016-11-26,38,1.089397,66.0,258,0.7014
2016-11-27,38,1.0327,37.0,271,0.8419
2016-11-28,38,0.964947,76.0,273,0.678
2016-11-29,38,0.864559,83.0,268,0.6407
2016-11-30,38,0.931482,59.0,242,0.7122
2016-12-01,38,1.075163,49.0,245,0.7644
2016-12-02,38,0.836195,32.0,229,0.8333
2016-12-03,38,0.926509,36.0,233,0.8163
2016-12-04,38,1.049638,36.0,252,0.8326
2016-12-05,38,1.005834,31.0,244,0.8502
2016-12-06,38,1.301356,36.0,232,0.8154
2016-12-07,38,1.346213,26.0,237,0.87
2016-12-08,38,1.320162,25.0,243,0.8786
2016-12-09,38,1.19624,18.0,258,0.9186
2016-12-10,38,1.179356,26.0,241,0.8725
2016-12-11,38,1.179528,29.0,248,0.8626
2016-12-12,38,1.253107,42.0,241,0.7941
2016-12-13,38,1.29581,46.0,253,0.787
2016-12-14,38,0.974364,24.0,233,0.8776
2016-12-15,38,1.055515,25.0,240,0.8768
2016-12-16,38,1.059155,37.0,239,0.8168
2016-12-17,38,1.085905,48.0,245,0.7692
2016-12-18,38,1.280129,23.0,242,0.8878
2016-12-19,38,1.338493,12.0,235,0.9394
2016-12-20,38,1.380914,28.0,224,0.8503
2016-12-21,38,1.292431,11.0,232,0.9436
2016-12-22,38,1.384301,27.0,233,0.8622
2016-12-23,38,1.405735,24.0,232,0.8769
2016-12-24,38,1.465243,23.0,233,0.8827
2016-12-25,38,1.531309,23.0,245,0.8894
2016-12-26,38,1.520068,23.0,244,0.8889
2016-12-27,38,1.529535,23.0,239,0.8861
2016-12-28,38,1.873339,34.0,232,0.8256
2016-12-29,38,1.900082,29.0,226,0.8466
2016-12-30,38,1.775,23.0,224,0.877
2016-12-31,38,1.632317,38.0,215,0.7865
2017-01-01,38,1.376349,35.0,215,0.8034
2017-01-02,38,1.373774,35.0,217,0.8056
2017-01-03,38,1.551988,30.0,203,0.8204
2017-01-04,38,1.258684,39.0,209,0.7733
2017-01-05,38,1.181502,34.0,222,0.8162
2017-01-06,38,1.556381,37.0,222,0.8
2017-01-07,38,1.417715,38.0,231,0.8041
2017-01-08,38,1.69423,46.0,206,0.7278
2017-01-09,38,2.15926,43.0,195,0.7278
2017-01-10,38,2.032863,41.0,203,0.753
2017-01-11,38,1.605602,39.0,207,0.7706
2017-01-12,38,1.469646,37.0,222,0.8
2017-01-13,38,1.590776,28.0,219,0.8462
2017-01-14,38,1.396354,43.0,212,0.7543
2017-01-15,38,1.634119,39.0,224,0.7914
2017-01-16,38,1.599491,35.0,216,0.8045
2017-01-17,38,1.394751,37.0,220,0.7978
2017-01-18,38,1.150422,27.0,207,0.8412
2017-01-19,38,1.170492,14.0,192,0.9097
2017-01-20,38,1.290248,54.0,205,0.6786
2017-01-21,38,1.305438,42.0,201,0.7439
2017-01-22,38,1.300938,46.0,205,0.7262
2017-01-23,38,1.500852,33.0,195,0.7911
2017-01-24,38,1.236846,24.0,204,0.8563
2017-01-25,38,1.250961,20.0,195,0.8734
2017-01-26,38,1.392205,31.0,204,0.8144
2017-01-27,38,1.345925,37.0,199,0.7716
2017-01-28,38,1.279451,33.0,203,0.8012
2017-01-29,38,1.449976,39.0,210,0.7746
2017-01-30,38,1.315164,14.0,214,0.9209
2017-01-31,38,1.252116,37.0,217,0.7944
2017-02-01,38,1.199088,32.0,206,0.8107
2017-02-02,38,1.047196,13.0,206,0.9231
2017-02-03,38,1.155815,9.0,199,0.9444
2017-02-04,38,0.930885,14.0,221,0.9239
2017-02-05,38,1.087615,24.0,216,0.8659
2017-02-06,38,1.180284,12.0,215,0.9326
2017-02-07,38,1.133434,18.0,210,0.896
2017-02-08,38,1.14102,19.0,198,0.882
2017-02-09,38,1.233956,21.0,213,0.8807
2017-02-10,38,1.135435,21.0,226,0.8889
2017-02-11,38,1.164825,27.0,241,0.8676
2017-02-12,38,1.186511,29.0,242,0.8585
2017-02-13,38,1.062305,26.0,236,0.8693
2017-02-14,38,1.050506,27.0,231,0.8608
2017-02-15,38,1.100153,41.0,229,0.7865
2017-02-16,38,1.275071,20.0,215,0.8876
2017-02-17,38,1.288833,37.0,221,0.7989
2017-02-18,38,1.380589,28.0,234,0.8579
2017-02-19,38,1.503875,30.0,250,0.8592
2017-02-20,38,1.447968,24.0,238,0.8806
2017-02-21,38,1.477608,35.0,229,0.8177
2017-02-22,38,1.64151,36.0,233,0.8163
2017-02-23,38,1.614321,47.0,241,0.7696
2017-02-24,38,1.751372,28.0,224,0.8503
2017-02-25,38,1.757814,32.0,230,0.8342
2017-02-26,38,1.753362,38.0,230,0.8031
2017-02-27,38,1.833835,29.0,224,0.8449
2017-02-28,38,1.794694,35.0,226,0.8148
2017-03-01,38,1.359081,32.0,225,0.8298
2017-03-02,38,1.561028,25.0,181,0.8264
2017-03-03,38,0.963844,13.0,200,0.9202
2017-03-04,38,1.098688,15.0,208,0.9123
2017-03-05,38,1.287941,16.0,217,0.9111
2017-03-06,38,1.243477,15.0,217,0.9167
2017-03-07,38,1.223641,17.0,215,0.9045
2017-03-08,38,1.249269,20.0,231,0.8969
2017-03-09,38,1.073329,23.0,232,0.8821
2017-03-10,38,0.890191,22.0,233,0.8883
2017-03-11,38,0.952825,22.0,237,0.8905
2017-03-12,38,0.962586,26.0,237,0.8706
2017-03-13,38,1.01856,37.0,229,0.8083
2017-03-14,38,0.913419,36.0,227,0.8115
2017-03-15,38,1.20777,37.0,227,0.8053
2017-03-16,38,1.380279,39.0,230,0.7979
2017-03-17,38,1.3669,26.0,236,0.8693
2017-03-18,38,1.44619,32.0,236,0.8392
2017-03-19,38,1.475062,30.0,243,0.8544
2017-03-20,38,1.473909,31.0,237,0.845
2017-03-21,38,1.461172,17.0,241,0.9171
2017-03-22,38,1.416569,28.0,240,0.8621
2017-03-23,38,1.435132,30.0,231,0.8454
2017-03-24,38,1.468019,30.0,232,0.8462
2017-03-25,38,1.255692,39.0,242,0.8098
2017-03-26,38,1.528481,30.0,249,0.8585
2017-03-27,38,1.349377,22.0,246,0.8947
2017-03-28,38,1.268143,28.0,248,0.8673
2017-03-29,38,1.153125,24.0,250,0.8879
2017-03-30,38,0.942871,30.0,247,0.8571
2017-03-31,38,1.243515,21.0,235,0.8939
2017-04-01,38,1.258134,37.0,220,0.7978
