date,L1_H1,n_unb,n_symbols,n_edges,balance_rate
2006-06-30,,,0,,
2006-07-03,0.464689,12.0,24,112.0,0.8667
2006-07-04,0.808846,23.0,33,214.0,0.8736
2006-07-05,0.758714,7.0,33,231.0,0.9648
2006-07-06,0.826384,14.0,33,224.0,0.9271
2006-07-07,0.721776,26.0,33,222.0,0.8632
2006-07-10,0.740384,21.0,33,217.0,0.8865
2006-07-11,0.640386,25.0,33,248.0,0.8843
2006-07-12,0.519377,12.0,33,255.0,0.9462
2006-07-13,0.618136,17.0,33,262.0,0.9261
2006-07-14,0.67011,56.0,33,252.0,0.7455
2006-07-17,0.74353,34.0,33,262.0,0.8522
2006-07-18,0.624609,25.0,33,254.0,0.8874
2006-07-19,0.609056,15.0,33,276.0,0.9385
2006-07-20,0.491048,9.0,33,258.0,0.9602
2006-07-21,0.455053,14.0,33,256.0,0.9375
2006-07-24,0.614363,12.0,33,228.0,0.9388
2006-07-25,0.702475,10.0,33,194.0,0.9383
2006-07-26,0.727392,13.0,33,193.0,0.9193
2006-07-27,0.646414,18.0,33,189.0,0.8854
2006-07-28,0.656989,9.0,33,191.0,0.9434
2006-07-31,0.727278,4.0,33,182.0,0.9733
2006-08-01,0.78237,6.0,33,186.0,0.961
2006-08-02,0.729197,8.0,33,180.0,0.9459
2006-08-03,0.817929,23.0,33,169.0,0.8321
2006-08-04,0.916456,17.0,33,175.0,0.8811
2006-08-07,0.880136,16.0,33,182.0,0.8933
2006-08-08,0.794922,16.0,33,183.0,0.894
2006-08-09,0.836306,21.0,33,184.0,0.8618
2006-08-10,0.928441,13.0,33,165.0,0.9023
2006-08-11,0.840217,8.0,33,162.0,0.9385
2006-08-14,0.880624,7.0,33,155.0,0.9431
2006-08-15,0.954645,14.0,33,166.0,0.8955
2006-08-16,0.755861,11.0,33,157.0,0.912
2006-08-17,1.018565,17.0,33,160.0,0.8672
2006-08-18,0.891462,23.0,33,169.0,0.8321
2006-08-21,1.007332,25.0,33,174.0,0.8239
2006-08-22,0.836368,25.0,33,176.0,0.8264
2006-08-23,0.893349,36.0,33,182.0,0.76
2006-08-24,1.032236,19.0,33,179.0,0.8707
2006-08-25,1.022324,25.0,33,182.0,0.8333
2006-08-28,1.145214,56.0,33,172.0,0.6
2006-08-29,1.229419,48.0,33,170.0,0.6522
2006-08-30,1.473902,39.0,33,162.0,0.7
2006-08-31,1.272614,18.0,33,163.0,0.8626
2006-09-01,1.221455,43.0,33,181.0,0.7114
2006-09-04,1.268641,27.0,33,188.0,0.8269
2006-09-05,1.191342,18.0,33,183.0,0.8808
2006-09-06,0.770413,17.0,33,183.0,0.8874
2006-09-07,0.416761,13.0,33,202.0,0.9235
2006-09-08,0.614489,8.0,33,188.0,0.9487
2006-09-11,0.916402,31.0,33,185.0,0.7974
