date,n_symbols,L1_H1,n_unb,n_edges,balance_rate
2021-06-15,0,,,0,
2021-06-16,12,0.0,0.0,48,1.0
2021-06-17,39,1.482575,25.0,275,0.8945
2021-06-18,39,1.46005,46.0,260,0.7928
2021-06-19,39,1.454824,41.0,267,0.821
2021-06-20,39,1.386477,50.0,271,0.7854
2021-06-21,39,1.379334,66.0,250,0.6901
2021-06-22,39,1.368641,47.0,236,0.7638
2021-06-23,39,1.288645,48.0,216,0.7303
2021-06-24,39,0.982423,55.0,224,0.7043
2021-06-25,39,1.194202,62.0,225,0.6684
2021-06-26,39,1.047227,52.0,237,0.7387
2021-06-27,39,1.178769,65.0,261,0.7085
2021-06-28,39,1.267944,57.0,242,0.7206
2021-06-29,39,1.17401,57.0,241,0.7192
2021-06-30,39,1.19693,62.0,245,0.7005
2021-07-01,39,1.395696,43.0,242,0.7892
2021-07-02,39,1.378125,61.0,238,0.695
2021-07-03,39,1.472325,35.0,237,0.8241
2021-07-04,39,1.47812,23.0,242,0.8873
2021-07-05,39,1.545117,22.0,236,0.8889
2021-07-06,39,1.34594,28.0,227,0.8519
2021-07-07,39,1.387296,33.0,222,0.8207
2021-07-08,39,1.209143,21.0,219,0.884
2021-07-09,39,1.091658,15.0,243,0.9268
2021-07-10,39,1.197468,23.0,252,0.8925
2021-07-11,39,1.070623,45.0,263,0.8
2021-07-12,39,1.133831,37.0,261,0.8341
2021-07-13,39,1.217327,47.0,255,0.7834
2021-07-14,39,1.325628,58.0,270,0.75
2021-07-15,39,1.277094,45.0,269,0.8052
2021-07-16,39,1.267278,48.0,266,0.7895
2021-07-17,39,0.976673,51.0,284,0.7927
2021-07-18,39,1.266723,42.0,262,0.8125
2021-07-19,39,1.020086,31.0,274,0.8686
2021-07-20,39,0.922689,30.0,281,0.8765
2021-07-21,39,0.95158,10.0,280,0.9587
2021-07-22,39,1.167925,17.0,274,0.928
2021-07-23,39,1.22854,18.0,274,0.9237
2021-07-24,39,1.188099,12.0,272,0.9487
2021-07-25,39,1.267896,22.0,280,0.9091
2021-07-26,39,1.227008,17.0,270,0.9267
2021-07-27,39,1.070558,23.0,262,0.8973
2021-07-28,39,0.941518,28.0,260,0.8739
2021-07-29,39,1.045596,27.0,267,0.8821
2021-07-30,39,1.117067,27.0,269,0.8831
2021-07-31,39,1.104662,26.0,287,0.8956
2021-08-01,39,1.26561,29.0,292,0.8858
2021-08-02,39,1.253355,20.0,287,0.9197
2021-08-03,39,1.271207,28.0,272,0.8803
2021-08-04,39,1.122458,19.0,269,0.9177
2021-08-05,39,0.980982,17.0,271,0.927
2021-08-06,39,0.858278,14.0,261,0.9372
2021-08-07,39,0.866132,17.0,255,0.9217
2021-08-08,39,0.881291,11.0,251,0.9484
2021-08-09,39,1.016161,25.0,249,0.8815
2021-08-10,39,0.997722,23.0,242,0.8873
2021-08-11,39,1.048983,28.0,249,0.8673
2021-08-12,39,0.888317,17.0,250,0.9198
2021-08-13,39,1.009667,23.0,257,0.895
2021-08-14,39,0.930651,18.0,249,0.9147
2021-08-15,39,0.924646,33.0,250,0.8443
2021-08-16,39,0.902,22.0,256,0.8991
2021-08-17,39,0.898244,19.0,257,0.9132
2021-08-18,39,1.204761,43.0,242,0.7892
2021-08-19,39,1.131469,50.0,249,0.763
2021-08-20,39,1.364483,28.0,202,0.8293
2021-08-21,39,1.395874,48.0,214,0.7273
2021-08-22,39,1.333748,44.0,224,0.7634
2021-08-23,39,1.375761,39.0,224,0.7903
2021-08-24,39,1.305931,39.0,230,0.7969
2021-08-25,39,1.069352,29.0,233,0.8513
2021-08-26,39,1.079475,35.0,239,0.8267
2021-08-27,39,0.908527,33.0,254,0.8479
2021-08-28,39,1.107208,51.0,265,0.7753
2021-08-29,39,1.283478,56.0,258,0.7466
2021-08-30,39,1.249228,51.0,254,0.765
2021-08-31,39,1.279546,53.0,248,0.7488
2021-09-01,39,1.556719,45.0,247,0.7857
2021-09-02,39,1.355426,46.0,262,0.7956
2021-09-03,39,1.000024,42.0,267,0.8166
2021-09-04,39,0.927331,44.0,271,0.8112
2021-09-05,39,0.801139,55.0,282,0.7746
2021-09-06,39,0.752538,54.0,274,0.7712
2021-09-07,39,0.832241,50.0,276,0.7899
2021-09-08,39,0.844327,26.0,265,0.8855
2021-09-09,39,0.901727,35.0,265,0.8458
2021-09-10,39,0.78264,61.0,263,0.7289
2021-09-11,39,0.795159,50.0,270,0.7845
2021-09-12,39,0.8925,52.0,284,0.7886
2021-09-13,39,0.869551,44.0,273,0.8128
2021-09-14,39,1.099186,39.0,268,0.8304
2021-09-15,39,0.910541,49.0,258,0.7773
2021-09-16,39,0.893676,34.0,259,0.8462
2021-09-17,39,0.837526,35.0,294,0.8633
2021-09-18,39,0.938661,36.0,298,0.8615
2021-09-19,39,1.142406,28.0,289,0.8884
2021-09-20,39,0.615739,42.0,358,0.8688
2021-09-21,39,0.572439,41.0,337,0.8629
2021-09-22,39,0.733552,36.0,328,0.8759
2021-09-23,39,0.923202,13.0,282,0.9467
2021-09-24,39,0.781779,17.0,279,0.9295
2021-09-25,39,0.893609,15.0,290,0.9405
2021-09-26,39,0.813699,13.0,306,0.9515
2021-09-27,39,0.785437,14.0,288,0.944
2021-09-28,39,0.814351,13.0,280,0.9463
2021-09-29,39,1.05545,54.0,264,0.7611
2021-09-30,39,0.890375,52.0,267,0.7729
2021-10-01,39,1.049575,58.0,262,0.7411
2021-10-02,39,1.079026,51.0,272,0.7821
2021-10-03,39,1.017936,46.0,277,0.8075
2021-10-04,39,0.900777,22.0,247,0.8947
2021-10-05,39,0.800717,39.0,262,0.8259
2021-10-06,39,0.779349,52.0,256,0.7615
2021-10-07,39,0.824399,18.0,263,0.92
2021-10-08,39,0.899317,22.0,258,0.9
2021-10-09,39,1.01555,24.0,260,0.8919
2021-10-10,39,0.956527,31.0,283,0.8735
2021-10-11,39,0.853606,21.0,274,0.911
2021-10-12,39,0.872543,19.0,270,0.9181
2021-10-13,39,0.720432,21.0,266,0.9079
2021-10-14,39,0.780594,22.0,282,0.9098
2021-10-15,39,0.738851,22.0,295,0.9144
2021-10-16,39,0.665932,20.0,305,0.9251
2021-10-17,39,0.853875,13.0,284,0.9472
2021-10-18,39,0.859572,25.0,283,0.898
2021-10-19,39,1.108186,24.0,277,0.8996
2021-10-20,39,1.533166,31.0,237,0.8442
2021-10-21,39,1.334403,22.0,229,0.8848
2021-10-22,39,1.520489,34.0,209,0.8012
2021-10-23,39,1.566843,42.0,227,0.7778
2021-10-24,39,1.563096,37.0,228,0.8053
2021-10-25,39,1.539035,20.0,226,0.8936
2021-10-26,39,1.095319,20.0,205,0.8802
2021-10-27,39,1.118796,22.0,204,0.8675
2021-10-28,39,1.255067,22.0,200,0.8642
2021-10-29,39,1.224969,32.0,211,0.815
2021-10-30,39,1.343516,20.0,202,0.878
2021-10-31,39,1.341857,25.0,218,0.8611
2021-11-01,39,1.458819,29.0,222,0.8424
2021-11-02,39,1.404628,24.0,218,0.8667
2021-11-03,39,1.567782,29.0,219,0.8398
2021-11-04,39,1.680752,41.0,203,0.7515
2021-11-05,39,1.490784,36.0,197,0.7736
2021-11-06,39,1.506158,38.0,208,0.7765
2021-11-07,39,1.352977,31.0,205,0.8144
2021-11-08,39,1.408628,38.0,210,0.7791
2021-11-09,39,1.550353,37.0,199,0.7702
2021-11-10,39,1.405245,22.0,184,0.8493
2021-11-11,39,1.371439,20.0,188,0.8667
2021-11-12,39,1.326732,24.0,183,0.8356
2021-11-13,39,1.095089,38.0,201,0.7669
2021-11-14,39,1.246285,30.0,214,0.8295
2021-11-15,39,1.134768,37.0,207,0.7811
2021-11-16,39,1.336907,22.0,196,0.8608
2021-11-17,39,1.486468,33.0,179,0.766
2021-11-18,39,1.564173,32.0,177,0.7698
2021-11-19,39,1.33349,33.0,174,0.7574
2021-11-20,39,1.552134,40.0,188,0.7333
2021-11-21,39,1.641045,31.0,194,0.8013
2021-11-22,39,1.699848,36.0,195,0.7707
2021-11-23,39,1.917569,17.0,187,0.8859
2021-11-24,39,1.642465,14.0,174,0.8978
2021-11-25,39,1.443932,23.0,183,0.8425
2021-11-26,39,0.760461,16.0,254,0.9259
2021-11-27,39,0.803659,18.0,250,0.9151
2021-11-28,39,0.90077,17.0,254,0.9213
2021-11-29,39,1.193822,11.0,253,0.9488
2021-11-30,39,1.151411,13.0,253,0.9395
2021-12-01,39,0.953831,15.0,229,0.9215
2021-12-02,39,1.011889,12.0,225,0.9358
2021-12-03,39,1.125843,11.0,237,0.9447
2021-12-04,39,1.082382,10.0,233,0.9487
2021-12-05,39,1.058281,16.0,240,0.9208
2021-12-06,39,1.171537,13.0,262,0.942
2021-12-07,39,1.059056,16.0,268,0.9304
2021-12-08,39,0.958435,16.0,272,0.9316
2021-12-09,39,0.722897,23.0,281,0.9053
2021-12-10,39,0.798589,28.0,286,0.8871
2021-12-11,39,0.856921,18.0,281,0.9259
2021-12-12,39,1.043203,23.0,281,0.9053
2021-12-13,39,1.040175,17.0,275,0.9283
2021-12-14,39,1.141277,20.0,277,0.9163
2021-12-15,39,1.28487,16.0,278,0.9333
2021-12-16,39,0.950858,25.0,277,0.8954
2021-12-17,39,0.564697,24.0,290,0.9048
2021-12-18,39,0.459971,19.0,292,0.9252
2021-12-19,39,0.449606,49.0,295,0.8093
2021-12-20,39,0.55604,22.0,297,0.9151
2021-12-21,39,0.444845,16.0,320,0.9433
2021-12-22,39,0.59042,18.0,328,0.9379
2021-12-23,39,0.701323,13.0,343,0.9574
2021-12-24,39,0.778498,11.0,353,0.9651
2021-12-25,39,0.711532,11.0,358,0.9656
2021-12-26,39,0.859892,25.0,306,0.9067
2021-12-27,39,0.860696,27.0,305,0.8989
2021-12-28,39,0.865203,23.0,302,0.9129
2021-12-29,39,0.817363,23.0,315,0.917
2021-12-30,39,0.555306,40.0,313,0.8545
2021-12-31,39,0.4298,23.0,342,0.9243
2022-01-01,39,0.525235,40.0,346,0.8701
2022-01-02,39,0.514131,39.0,345,0.873
2022-01-03,39,0.66466,71.0,327,0.7543
2022-01-04,39,0.759207,47.0,317,0.8315
2022-01-05,39,0.769132,57.0,322,0.7993
2022-01-06,39,0.731293,38.0,292,0.8504
2022-01-07,39,0.546148,37.0,286,0.8508
2022-01-08,39,0.454109,37.0,294,0.8555
2022-01-09,39,0.365954,46.0,306,0.8284
2022-01-10,39,0.432143,52.0,294,0.7969
2022-01-11,39,0.624265,63.0,281,0.7407
2022-01-12,39,0.640047,24.0,271,0.897
2022-01-13,39,0.576535,58.0,266,0.7456
2022-01-14,39,0.456101,49.0,274,0.7924
2022-01-15,39,0.376929,43.0,286,0.8266
2022-01-16,39,0.578124,46.0,293,0.8196
2022-01-17,39,0.525977,47.0,288,0.812
2022-01-18,39,0.535162,62.0,278,0.7417
2022-01-19,39,0.527314,39.0,283,0.8408
2022-01-20,39,0.710075,28.0,219,0.8453
2022-01-21,39,0.708682,23.0,216,0.8715
2022-01-22,39,0.791505,24.0,218,0.8667
2022-01-23,39,0.81514,20.0,233,0.8974
2022-01-24,39,0.817141,23.0,225,0.877
2022-01-25,39,0.842841,20.0,215,0.887
2022-01-26,39,1.061654,14.0,213,0.92
2022-01-27,39,1.280694,25.0,206,0.8512
2022-01-28,39,1.232025,37.0,215,0.791
2022-01-29,39,1.426183,22.0,220,0.8791
2022-01-30,39,1.400503,27.0,230,0.8594
2022-01-31,39,1.333961,29.0,231,0.8497
2022-02-01,39,1.22314,21.0,215,0.8814
2022-02-02,39,1.034637,11.0,208,0.9353
2022-02-03,39,1.258025,33.0,212,0.8103
2022-02-04,39,1.08888,64.0,229,0.6649
2022-02-05,39,1.123655,63.0,232,0.6753
2022-02-06,39,1.274194,64.0,246,0.6923
2022-02-07,39,1.342019,57.0,236,0.7121
2022-02-08,39,1.071313,52.0,219,0.7127
2022-02-09,39,0.970708,58.0,233,0.7026
2022-02-10,39,0.905728,60.0,228,0.6842
2022-02-11,39,1.064892,52.0,203,0.6848
2022-02-12,39,1.057691,48.0,212,0.7241
2022-02-13,39,1.085036,45.0,222,0.7554
2022-02-14,39,0.91637,50.0,213,0.7143
2022-02-15,39,0.97149,51.0,205,0.6946
2022-02-16,39,1.065753,44.0,200,0.7284
2022-02-17,39,1.102401,35.0,195,0.7771
2022-02-18,39,1.021152,16.0,213,0.9086
2022-02-19,39,0.968017,17.0,218,0.9056
2022-02-20,39,0.924725,27.0,218,0.85
2022-02-21,39,0.972852,26.0,214,0.8523
2022-02-22,39,1.009472,28.0,207,0.8343
2022-02-23,39,1.134862,14.0,215,0.9209
2022-02-24,39,1.067422,19.0,213,0.8914
2022-02-25,39,0.995709,36.0,261,0.8386
2022-02-26,39,0.819661,74.0,274,0.6864
2022-02-27,39,0.833014,19.0,260,0.9144
2022-02-28,39,0.776068,28.0,243,0.8634
2022-03-01,39,0.74417,54.0,285,0.7814
2022-03-02,39,0.744749,58.0,290,0.7698
2022-03-03,39,0.819801,60.0,296,0.7674
2022-03-04,39,0.460778,19.0,310,0.9301
2022-03-05,39,0.324243,46.0,335,0.8451
2022-03-06,39,0.436158,36.0,362,0.8889
2022-03-07,39,0.615572,28.0,314,0.8986
2022-03-08,39,0.637749,27.0,305,0.8989
2022-03-09,39,0.6188,15.0,377,0.9559
2022-03-10,39,0.623638,10.0,352,0.9683
2022-03-11,39,0.466483,35.0,359,0.891
2022-03-12,39,0.589484,12.0,374,0.9643
2022-03-13,39,0.498801,23.0,386,0.9339
2022-03-14,39,0.796625,7.0,359,0.9782
2022-03-15,39,0.713442,7.0,365,0.9786
2022-03-16,39,0.757913,10.0,360,0.9689
2022-03-17,39,0.870567,14.0,356,0.956
2022-03-18,39,0.893474,15.0,340,0.9503
2022-03-19,39,0.915498,13.0,350,0.9583
2022-03-20,39,0.948836,78.0,347,0.7476
2022-03-21,39,1.024087,74.0,340,0.755
2022-03-22,39,0.975798,12.0,335,0.9596
2022-03-23,39,0.892433,7.0,323,0.9754
2022-03-24,39,0.911825,7.0,318,0.975
2022-03-25,39,0.855155,9.0,323,0.9684
2022-03-26,39,0.923827,9.0,340,0.9702
2022-03-27,39,0.770147,10.0,338,0.9667
2022-03-28,39,0.736265,9.0,337,0.9699
2022-03-29,39,0.656636,9.0,337,0.9699
2022-03-30,39,0.819757,9.0,337,0.9699
2022-03-31,39,0.958719,37.0,312,0.865
2022-04-01,39,0.91688,41.0,324,0.8566
2022-04-02,39,0.847974,41.0,322,0.8556
2022-04-03,39,0.985139,44.0,302,0.8333
2022-04-04,39,0.927451,40.0,295,0.8444
2022-04-05,39,0.792705,33.0,303,0.8755
2022-04-06,39,0.798738,26.0,262,0.8839
2022-04-07,39,1.00814,35.0,277,0.8536
2022-04-08,39,1.09682,28.0,256,0.8716
2022-04-09,39,0.809505,39.0,271,0.8326
2022-04-10,39,0.741119,29.0,280,0.8802
2022-04-11,39,0.799705,27.0,283,0.8898
2022-04-12,39,0.80549,18.0,280,0.9256
2022-04-13,39,0.907453,25.0,274,0.8941
2022-04-14,39,0.9081,12.0,266,0.9474
2022-04-15,39,1.12571,20.0,261,0.9103
2022-04-16,39,1.362197,28.0,253,0.8698
2022-04-17,39,1.480702,40.0,256,0.8165
2022-04-18,39,1.567181,34.0,252,0.8411
2022-04-19,39,1.488486,47.0,241,0.7685
2022-04-20,39,1.464438,31.0,237,0.8442
2022-04-21,39,1.56951,52.0,256,0.7615
2022-04-22,39,1.101451,50.0,237,0.7487
2022-04-23,39,1.319617,62.0,255,0.7143
2022-04-24,39,1.392322,71.0,261,0.6816
2022-04-25,39,1.189059,31.0,271,0.867
2022-04-26,39,1.199565,18.0,240,0.9109
2022-04-27,39,1.504276,45.0,226,0.7606
2022-04-28,39,1.371225,42.0,232,0.7835
2022-04-29,39,1.164863,41.0,213,0.7657
2022-04-30,39,1.463968,40.0,211,0.7688
2022-05-01,39,1.276572,40.0,219,0.779
2022-05-02,39,1.317696,17.0,196,0.8924
2022-05-03,39,1.232651,15.0,194,0.9038
2022-05-04,39,1.175638,20.0,197,0.8742
2022-05-05,39,1.024596,8.0,231,0.9585
2022-05-06,39,1.015512,7.0,236,0.9646
2022-05-07,39,0.982502,9.0,237,0.9548
2022-05-08,39,0.919254,13.0,240,0.9356
2022-05-09,39,0.9973,20.0,267,0.9127
2022-05-10,39,0.964312,24.0,243,0.8829
2022-05-11,39,0.852956,23.0,229,0.8796
2022-05-12,39,1.07584,15.0,227,0.9206
2022-05-13,39,1.139722,21.0,235,0.8934
2022-05-14,39,1.072587,23.0,233,0.8821
2022-05-15,39,1.049843,22.0,232,0.8866
2022-05-16,39,1.167342,22.0,235,0.8883
2022-05-17,39,1.154277,19.0,237,0.9045
2022-05-18,39,0.82954,18.0,264,0.9204
2022-05-19,39,1.015407,24.0,259,0.8914
2022-05-20,39,0.965267,23.0,263,0.8978
2022-05-21,39,1.045426,23.0,267,0.8996
2022-05-22,39,0.888631,28.0,259,0.8733
2022-05-23,39,0.80629,20.0,260,0.9099
2022-05-24,39,0.876575,25.0,269,0.8918
2022-05-25,39,1.009404,22.0,266,0.9035
2022-05-26,39,1.014792,27.0,315,0.9025
2022-05-27,39,0.98007,43.0,307,0.8401
2022-05-28,39,0.939576,21.0,300,0.9198
2022-05-29,39,0.767274,30.0,321,0.894
2022-05-30,39,0.751807,22.0,313,0.92
2022-05-31,39,0.687632,18.0,304,0.9323
2022-06-01,39,0.758566,16.0,309,0.941
2022-06-02,39,0.873239,16.0,304,0.9398
2022-06-03,39,0.938082,25.0,316,0.9101
2022-06-04,39,1.203951,14.0,341,0.9538
2022-06-05,39,0.845175,8.0,369,0.9758
2022-06-06,39,0.958899,5.0,359,0.9844
2022-06-07,39,0.947773,7.0,363,0.9785
2022-06-08,39,0.897458,35.0,340,0.8841
2022-06-09,39,1.057441,30.0,334,0.8986
2022-06-10,39,1.288534,21.0,304,0.9211
2022-06-11,39,1.197703,16.0,322,0.9437
2022-06-12,39,1.080946,22.0,277,0.9079
2022-06-13,39,0.842129,8.0,277,0.9665
2022-06-14,39,0.796343,20.0,279,0.917
2022-06-15,39,0.920343,5.0,262,0.9777
2022-06-16,39,0.87403,18.0,257,0.9178
2022-06-17,39,1.13563,7.0,248,0.9667
2022-06-18,39,0.991839,33.0,278,0.8625
2022-06-19,39,1.059465,30.0,270,0.8707
2022-06-20,39,1.067806,29.0,262,0.8705
2022-06-21,39,0.935849,34.0,264,0.8496
2022-06-22,39,0.992923,46.0,267,0.7991
2022-06-23,39,1.079621,57.0,269,0.7532
2022-06-24,39,1.018467,54.0,271,0.7682
2022-06-25,39,0.871403,43.0,276,0.8193
2022-06-26,39,0.913746,40.0,272,0.8291
2022-06-27,39,1.008457,49.0,266,0.7851
2022-06-28,39,1.102429,46.0,266,0.7982
2022-06-29,39,1.079535,44.0,259,0.8009
2022-06-30,39,1.155667,15.0,267,0.9345
2022-07-01,39,1.198836,14.0,257,0.9361
2022-07-02,39,1.054462,55.0,254,0.7454
2022-07-03,39,0.93572,57.0,269,0.7532
2022-07-04,39,0.907522,56.0,265,0.7533
2022-07-05,39,0.887136,52.0,269,0.7749
2022-07-06,39,1.045683,59.0,259,0.733
2022-07-07,39,0.938014,50.0,263,0.7778
2022-07-08,39,0.808637,40.0,260,0.8198
2022-07-09,39,0.811889,45.0,267,0.8035
2022-07-10,39,0.732067,38.0,271,0.8369
2022-07-11,39,0.70564,37.0,264,0.8363
2022-07-12,39,0.752942,30.0,265,0.8678
2022-07-13,39,0.896569,59.0,277,0.7531
2022-07-14,39,0.702317,54.0,268,0.7652
2022-07-15,39,0.791746,11.0,270,0.9526
2022-07-16,39,0.886186,12.0,241,0.9409
2022-07-17,39,0.730911,34.0,258,0.8455
2022-07-18,39,0.570202,42.0,261,0.8117
2022-07-19,39,0.566169,18.0,270,0.9224
2022-07-20,39,0.587092,20.0,280,0.9174
2022-07-21,39,0.608919,47.0,268,0.7957
2022-07-22,39,0.848624,21.0,251,0.9014
2022-07-23,39,0.813215,10.0,264,0.9558
2022-07-24,39,0.85477,15.0,244,0.9272
2022-07-25,39,0.808432,16.0,232,0.9175
2022-07-26,39,0.766713,15.0,232,0.9227
2022-07-27,39,0.610158,18.0,255,0.9171
2022-07-28,39,0.825388,30.0,258,0.8636
2022-07-29,39,0.847927,28.0,260,0.8739
2022-07-30,39,1.081487,44.0,248,0.7905
2022-07-31,39,1.216628,34.0,264,0.8496
2022-08-01,39,1.110497,37.0,264,0.8363
2022-08-02,39,1.158954,26.0,249,0.8768
2022-08-03,39,1.401422,34.0,256,0.844
2022-08-04,39,1.217034,30.0,271,0.8712
2022-08-05,39,1.232422,35.0,241,0.8276
2022-08-06,39,1.3542,39.0,237,0.804
2022-08-07,39,1.231421,51.0,257,0.7671
2022-08-08,39,1.2719,39.0,245,0.8116
2022-08-09,39,1.261356,38.0,247,0.8182
2022-08-10,39,1.325948,30.0,250,0.8585
2022-08-11,39,1.353805,22.0,262,0.9018
2022-08-12,39,1.40466,55.0,271,0.7639
2022-08-13,39,1.523261,63.0,294,0.7539
2022-08-14,39,1.293792,30.0,288,0.88
2022-08-15,39,1.239861,25.0,286,0.8992
2022-08-16,39,1.160436,54.0,272,0.7692
2022-08-17,39,1.112237,51.0,243,0.7512
2022-08-18,39,1.244239,46.0,260,0.7928
2022-08-19,39,1.150841,24.0,251,0.8873
2022-08-20,39,1.012571,14.0,248,0.9333
2022-08-21,39,1.195652,9.0,260,0.9595
2022-08-22,39,1.094695,9.0,255,0.9585
2022-08-23,39,1.079636,10.0,250,0.9528
2022-08-24,39,0.970812,39.0,245,0.8116
2022-08-25,39,0.8112,7.0,249,0.9668
2022-08-26,39,0.861087,16.0,246,0.9231
2022-08-27,39,0.625351,19.0,252,0.9112
2022-08-28,39,0.66218,58.0,275,0.7553
2022-08-29,39,0.734708,34.0,272,0.8547
2022-08-30,39,1.078275,37.0,252,0.8271
2022-08-31,39,1.039406,22.0,263,0.9022
2022-09-01,39,1.273744,24.0,257,0.8904
2022-09-02,39,1.140674,20.0,244,0.9029
2022-09-03,39,1.189447,25.0,249,0.8815
2022-09-04,39,0.845249,25.0,249,0.8815
2022-09-05,39,0.824475,24.0,248,0.8857
2022-09-06,39,0.883011,31.0,241,0.8473
2022-09-07,39,1.084362,26.0,244,0.8738
2022-09-08,39,0.549179,20.0,238,0.9
2022-09-09,39,0.660477,37.0,243,0.8195
2022-09-10,39,0.767995,9.0,244,0.9563
2022-09-11,39,1.051363,9.0,239,0.9552
2022-09-12,39,0.953478,30.0,255,0.8618
2022-09-13,39,0.903478,41.0,255,0.8111
2022-09-14,39,0.835479,26.0,261,0.8834
2022-09-15,39,0.770141,18.0,258,0.9182
2022-09-16,39,0.844031,11.0,265,0.9515
2022-09-17,39,0.9219,10.0,271,0.9571
