date,label,country,density_30d,density_15d,days_since_prev,log_inv_gap,d_unb_sigma,d_L1_sigma
2018-01-22,Solar/Washer Section 201 関税,USA,0,0,,,-0.021777679014145356,1.0392619043087323
2018-03-08,鉄鋼/アルミ Section 232 関税,USA,0,0,45.0,0.5108256237659906,-0.8400512788309207,-0.5117208496397739
2018-03-22,Trump 中国 USD60B 関税署名,USA,1,1,14.0,1.1451323043030026,-0.0452912882042825,-0.36940756780193257
2018-04-02,中国 米農産物 USD3B 報復,CHN,2,1,11.0,1.3156767939059373,0.3638455117041053,-0.4247741186408389
2018-04-04,Section 301 list (USD50B 製品),USA,3,2,2.0,2.772588722239781,0.4249808955984621,-0.42352102967612
2018-05-31,EU/Canada/Mexico 鉄鋼関税適用,USA,0,0,57.0,0.4228568508200335,-0.026480400852172785,1.3394065771771753
2018-06-15,USD50B 25%関税確定発表,USA,1,1,15.0,1.0986122886681098,0.763576867936438,-0.4273785030336673
2018-07-06,USD34B 25%関税発動,USA,1,0,21.0,0.8873031950009029,-0.261616492753545,-1.0116737995961158
2018-08-23,USD16B 第2弾発動,USA,0,0,48.0,0.4855078157817008,0.8247122518307948,1.0258913706563508
2018-09-17,USD200B 10%関税発動発表,USA,1,0,25.0,0.7884573603642703,-0.40740086973239575,-0.39046350120314904
2018-09-24,USD200B 10%発動 + 中国 USD60B 報復,USA,1,1,7.0,1.6650077635889111,0.2039529692111722,-0.08708609263064356
2019-05-10,USD200B 25%エスカレート,USA,0,0,228.0,0.12361395596717663,0.2509801875914465,0.3847840601574433
2019-05-13,中国 USD60B 25%報復,CHN,1,1,3.0,2.3978952727983707,0.17573663818300764,0.4046827728082053
2019-05-15,Huawei エンティティリスト,USA,2,2,2.0,2.772588722239781,0.10049308877456828,0.43383670064536856
2019-08-01,残 USD300B 関税予告,USA,0,0,78.0,0.32542240043462795,-0.42150903524647804,0.7452984992952554
2019-08-23,中国 USD75B 関税 + 米追加 5pp,CHN,1,0,22.0,0.8602012652231114,-0.9152948282393598,-0.6742746536373286
2021-12-03,対リトアニア輸入停止,CHN,0,0,833.0,0.035381048916585195,-0.5531852467112466,0.7054143462078771
2022-08-09,米CHIPS法成立,USA,0,0,249.0,0.11375888535665796,0.1428175853168154,-0.024963702355491568
2022-10-07,対中先端半導体輸出規制,USA,0,0,59.0,0.4110989258264204,-0.633131517957713,-1.5964856366478368
2022-11-30,ニッケルWTOパネル違反認定,IDN,0,0,54.0,0.44183275227903923,-0.2334001617253804,-1.840832032861032
2023-02-27,ウィンザー枠組合意,GBR,0,0,89.0,0.2904871233793895,0.28389924045763876,1.2917490211464933
2023-07-03,ガリウム・ゲルマニウム規制,CHN,0,0,126.0,0.2135741002980591,-0.05469673188033736,1.5397443614086037
2023-08-03,インド ラップトップ規制,IND,0,0,31.0,0.676886659688165,-0.3227518766479018,0.2615861775123505
2023-08-04,中豪 大麦関税撤廃,CHN,1,1,1.0,3.4339872044851463,-0.3462654858380389,0.31096298435671405
2023-10-04,EU 中国EV反補助金調査開始,EU,0,0,61.0,0.39998564234353884,-0.6660505708239053,0.7522458625919285
2023-10-17,対中半導体規制強化AIチップ,USA,1,1,13.0,1.1962507582320256,-0.8682676098590855,0.31224136892563925
2023-12-01,黒鉛輸出規制,CHN,0,0,45.0,0.5108256237659906,-0.440319922598588,0.1195923855326889
2024-03-28,中豪 ワイン関税撤廃,CHN,0,0,118.0,0.2265276492984503,-0.5296716375211094,0.5828265340171936
2024-05-14,バイデン 対中EV 100%関税,USA,0,0,47.0,0.4936578201436253,-0.6237260742816582,0.1550874324379625
2024-07-05,EU BEV暫定相殺関税,EU,0,0,52.0,0.4554755286828257,0.2933046841336936,1.2252538924331338
2024-08-15,アンチモン輸出規制,CHN,0,0,41.0,0.5491078103370076,0.2039529692111722,-0.3763079535479348
2024-10-30,EU BEV確定相殺関税,EU,0,0,76.0,0.33270575382573614,0.26038563126750136,0.23977328909784093
2024-12-03,対米デュアルユース禁輸,CHN,0,0,34.0,0.6325225587435105,-0.5672934122253288,-0.23457689574306448
2025-02-01,カナダ・メキシコ・中国IEEPA関税,USA,0,0,60.0,0.4054651081081644,0.5613598289012578,0.14648522646269213
2025-02-10,鉄鋼・アルミ25%全世界拡大,USA,1,1,9.0,1.4663370687934272,0.9046585230772614,0.1906203164654969
2025-04-02,Liberation Day 相互関税,USA,0,0,51.0,0.46262352194811307,0.7964959208026302,-0.8877030193300365
2025-04-04,中国34%報復+希土類規制,CHN,1,1,2.0,2.772588722239781,0.7306578150702462,-0.8807154806619757
2025-04-08,関税180日停止・株価反発,USA,2,2,4.0,2.1400661634962708,0.749468702422356,-1.2668588307918422
2025-04-09,関税エスカレート145%,USA,3,3,1.0,3.4339872044851463,0.7400632587463011,-1.343731109137027
2025-04-15,Nvidia H20輸出規制,USA,4,4,6.0,1.791759469228055,1.2103354425490453,-1.4076922134995111
2025-05-12,ジュネーブ90日休戦,USA,1,0,27.0,0.7472144018302211,0.5895761599294228,-1.1633247730441598
2026-03-04,関税再発動,USA,0,0,296.0,0.09653792704264724,0.6554142656618068,0.6600939764650784
