,L1,L2,Linf,nH1,meanP,entropy,n_unb_total,n_unb_3,n_unb_4,n_unb_5plus,weighted_unb,balance_rate
L1,1.0,0.858,0.248,0.788,0.381,0.783,0.162,0.073,0.001,0.222,-0.008,-0.423
L2,0.858,1.0,0.645,0.469,0.659,0.407,0.177,0.125,0.066,0.172,0.095,-0.326
Linf,0.248,0.645,1.0,-0.063,0.526,-0.205,0.088,0.106,0.112,0.003,0.156,-0.039
nH1,0.788,0.469,-0.063,1.0,-0.232,0.919,0.088,-0.013,-0.083,0.21,-0.131,-0.392
meanP,0.381,0.659,0.526,-0.232,1.0,-0.134,0.137,0.164,0.152,0.026,0.231,-0.087
entropy,0.783,0.407,-0.205,0.919,-0.134,1.0,0.065,-0.023,-0.116,0.21,-0.155,-0.362
n_unb_total,0.162,0.177,0.088,0.088,0.137,0.065,1.0,0.241,0.718,0.742,0.757,-0.9
n_unb_3,0.073,0.125,0.106,-0.013,0.164,-0.023,0.241,1.0,0.129,0.035,0.42,-0.179
n_unb_4,0.001,0.066,0.112,-0.083,0.152,-0.116,0.718,0.129,1.0,0.086,0.828,-0.545
n_unb_5plus,0.222,0.172,0.003,0.21,0.026,0.21,0.742,0.035,0.086,1.0,0.248,-0.771
weighted_unb,-0.008,0.095,0.156,-0.131,0.231,-0.155,0.757,0.42,0.828,0.248,1.0,-0.574
balance_rate,-0.423,-0.326,-0.039,-0.392,-0.087,-0.362,-0.9,-0.179,-0.545,-0.771,-0.574,1.0
