date,n_both,flip_rate,churn_rate,n_either
2021-07-15,0,,,
2021-07-16,31,0.2258,0.4259,54.0
2021-07-17,138,0.2391,0.6722,421.0
2021-07-18,127,0.0945,0.6785,395.0
2021-07-19,131,0.0916,0.6805,410.0
2021-07-20,139,0.0791,0.6634,413.0
2021-07-21,145,0.0552,0.6234,385.0
2021-07-22,148,0.0608,0.5912,362.0
2021-07-23,139,0.036,0.604,351.0
2021-07-24,137,0.0365,0.6184,359.0
2021-07-25,137,0.0438,0.6277,368.0
2021-07-26,136,0.0368,0.6334,371.0
2021-07-27,142,0.0282,0.6273,381.0
2021-07-28,140,0.0643,0.6133,362.0
2021-07-29,141,0.0567,0.6158,367.0
2021-07-30,140,0.0714,0.6257,374.0
2021-07-31,146,0.089,0.6188,383.0
2021-08-01,145,0.0828,0.6234,385.0
2021-08-02,139,0.0791,0.639,385.0
2021-08-03,143,0.1049,0.6146,371.0
2021-08-04,138,0.0725,0.624,367.0
2021-08-05,141,0.0709,0.605,357.0
2021-08-06,127,0.0472,0.6433,356.0
2021-08-07,131,0.0382,0.6181,343.0
2021-08-08,151,0.0331,0.5598,343.0
2021-08-09,158,0.0253,0.5394,343.0
2021-08-10,159,0.0314,0.5405,346.0
2021-08-11,147,0.0136,0.595,363.0
2021-08-12,150,0.0267,0.5775,355.0
2021-08-13,157,0.0892,0.5757,370.0
2021-08-14,155,0.0581,0.573,363.0
2021-08-15,153,0.0719,0.5785,363.0
2021-08-16,161,0.087,0.5752,379.0
2021-08-17,148,0.0541,0.6011,371.0
2021-08-18,167,0.0838,0.5215,349.0
2021-08-19,164,0.0732,0.5519,366.0
2021-08-20,129,0.0698,0.6346,353.0
2021-08-21,138,0.0725,0.6057,350.0
2021-08-22,135,0.0815,0.6281,363.0
2021-08-23,137,0.0584,0.6184,359.0
2021-08-24,139,0.0432,0.6253,371.0
2021-08-25,139,0.0288,0.6181,364.0
2021-08-26,136,0.0368,0.6274,365.0
2021-08-27,135,0.0444,0.6438,379.0
2021-08-28,138,0.0507,0.6497,394.0
2021-08-29,142,0.0493,0.6312,385.0
2021-08-30,147,0.0476,0.6269,394.0
2021-08-31,146,0.0548,0.6294,394.0
2021-09-01,151,0.0397,0.6057,383.0
2021-09-02,150,0.0533,0.6094,384.0
2021-09-03,147,0.0476,0.6221,389.0
2021-09-04,146,0.0479,0.6313,396.0
2021-09-05,145,0.0414,0.6357,398.0
2021-09-06,141,0.0567,0.6366,388.0
2021-09-07,143,0.042,0.6276,384.0
2021-09-08,151,0.0596,0.584,363.0
2021-09-09,140,0.0286,0.6185,367.0
2021-09-10,132,0.053,0.6526,380.0
2021-09-11,139,0.0719,0.6352,381.0
2021-09-12,139,0.0576,0.6542,402.0
2021-09-13,136,0.0441,0.6477,386.0
2021-09-14,131,0.0382,0.6615,387.0
2021-09-15,120,0.0667,0.6954,394.0
2021-09-16,125,0.064,0.6803,391.0
2021-09-17,128,0.0859,0.6863,408.0
2021-09-18,135,0.1407,0.6723,412.0
2021-09-19,109,0.0459,0.7147,382.0
2021-09-20,138,0.1014,0.682,434.0
2021-09-21,135,0.1185,0.6831,426.0
2021-09-22,136,0.0809,0.6731,416.0
