internal,yticker,sector,asset_class
EURUSD,EURUSD=X,FX_MAJOR,FX
USDJPY,USDJPY=X,FX_MAJOR,FX
GBPUSD,GBPUSD=X,FX_MAJOR,FX
AUDUSD,AUDUSD=X,FX_MAJOR,FX
USDCHF,USDCHF=X,FX_MAJOR,FX
USDCAD,USDCAD=X,FX_MAJOR,FX
NZDUSD,NZDUSD=X,FX_MAJOR,FX
EURJPY,EURJPY=X,FX_CROSS,FX
GBPJPY,GBPJPY=X,FX_CROSS,FX
EURGBP,EURGBP=X,FX_CROSS,FX
USDTRY,USDTRY=X,FX_EM,FX
USDHUF,USDHUF=X,FX_EM,FX
EURTRY,EURTRY=X,FX_EM,FX
XAUUSD,GC=F,COMMODITY,METAL
XAGUSD,SI=F,COMMODITY,METAL
BTCUSD,BTC-USD,CRYPTO,CRYPTO
ETHUSD,ETH-USD,CRYPTO,CRYPTO
USOUSD,CL=F,COMMODITY,ENERGY
UKOUSD,BZ=F,COMMODITY,ENERGY
SP500,^GSPC,INDEX_US,INDEX
NAS100,^IXIC,INDEX_US,INDEX
DJ30,^DJI,INDEX_US,INDEX
RUS2000,^RUT,INDEX_US,INDEX
GER40,^GDAXI,INDEX_EU,INDEX
UK100,^FTSE,INDEX_EU,INDEX
FRA40,^FCHI,INDEX_EU,INDEX
JP225,^N225,INDEX_AS,INDEX
CHINA50,FXI,INDEX_AS,INDEX
DXY,DX=F,SPECIAL,SPECIAL
VIX,^VIX,SPECIAL,SPECIAL
AAPL,AAPL,STOCK,STOCK
MSFT,MSFT,STOCK,STOCK
GOOG,GOOG,STOCK,STOCK
META,META,STOCK,STOCK
TSLA,TSLA,STOCK,STOCK
US10Y,^TNX,BOND,BOND
EUB10Y,TLT,BOND,BOND
UKGILT,IGLT.L,BOND,BOND
COPPER,HG=F,COMMODITY,COMMODITY
NGAS,NG=F,COMMODITY,COMMODITY
