internal,yticker,sector,asset_class
VALE,VALE3.SA,BR_MAT,EM_STOCK
PETR4,PETR4.SA,BR_ENG,EM_STOCK
ITUB4,ITUB4.SA,BR_FIN,EM_STOCK
BBDC4,BBDC4.SA,BR_FIN,EM_STOCK
BBAS3,BBAS3.SA,BR_FIN,EM_STOCK
ABEV3,ABEV3.SA,BR_CON,EM_STOCK
RELIANCE,RELIANCE.NS,IN_ENG,EM_STOCK
TCS,TCS.NS,IN_TECH,EM_STOCK
HDFCBANK,HDFCBANK.NS,IN_FIN,EM_STOCK
INFY,INFY.NS,IN_TECH,EM_STOCK
ICICIBANK,ICICIBANK.NS,IN_FIN,EM_STOCK
HINDUNILVR,HINDUNILVR.NS,IN_CON,EM_STOCK
BHARTIARTL,BHARTIARTL.NS,IN_TEL,EM_STOCK
TENCENT,0700.HK,CN_TECH,EM_STOCK
ALIBABA,9988.HK,CN_TECH,EM_STOCK
BYD,1211.HK,CN_EV,EM_STOCK
MEITUAN,3690.HK,CN_TECH,EM_STOCK
AMXL,AMXL.MX,MX_TEL,EM_STOCK
FEMSA,FEMSAUBD.MX,MX_CON,EM_STOCK
GMEXICOB,GMEXICOB.MX,MX_MAT,EM_STOCK
BBCA,BBCA.JK,ID_FIN,EM_STOCK
TLKM,TLKM.JK,ID_TEL,EM_STOCK
NPN,NPN.JO,ZA_TECH,EM_STOCK
FSR,FSR.JO,ZA_FIN,EM_STOCK
USDBRL,BRL=X,EM_FX,FX
USDINR,INR=X,EM_FX,FX
USDTRY,TRY=X,EM_FX,FX
USDMXN,MXN=X,EM_FX,FX
USDZAR,ZAR=X,EM_FX,FX
USDIDR,IDR=X,EM_FX,FX
EWZ,EWZ,BR_ETF,ETF
INDA,INDA.NYSE,IN_ETF,ETF
EWW,EWW,MX_ETF,ETF
EEM,EEM,EM_BROAD,ETF
OIL,CL=F,ENERGY,COMM
GOLD,GC=F,METAL,COMM
COPPER,HG=F,METAL,COMM
DXY,DX=F,SPECIAL,FX
BTC,BTC-USD,CRYPTO,CRYPTO
ETH,ETH-USD,CRYPTO,CRYPTO
VIX,^VIX,SPECIAL,SPECIAL
